"Time","Strength","Firsts","Lasts","Minimum","Maximum","Interpolated"
"17:00 2025/04/15","4:46 ","4:48 ","4:44 ","3:58 ","5:27 ","0:00 "
"18:00 2025/04/15","4:35 ","4:34 ","4:31 ","3:52 ","5:12 ","0:00 "
"19:00 2025/04/15","4:30 ","4:32 ","4:24 ","3:46 ","5:05 ","0:00 "
"20:00 2025/04/15","4:45 ","4:49 ","4:44 ","3:58 ","5:30 ","0:00 "
"21:00 2025/04/15","4:23 ","4:23 ","4:19 ","3:51 ","4:55 ","0:00 "
"22:00 2025/04/15","4:13 ","4:12 ","4:11 ","3:46 ","4:35 ","0:00 "
"23:00 2025/04/15","4:06 ","4:09 ","4:05 ","3:42 ","4:28 ","0:00 "
"00:00 2025/04/16","4:04 ","4:05 ","4:02 ","3:38 ","4:26 ","0:00 "
"01:00 2025/04/16","4:03 ","4:03 ","4:02 ","3:36 ","4:26 ","0:00 "
"02:00 2025/04/16","4:04 ","4:04 ","4:03 ","3:35 ","4:25 ","0:00 "
"03:00 2025/04/16","4:06 ","4:06 ","4:05 ","3:37 ","4:25 ","0:00 "
"04:00 2025/04/16","4:05 ","4:05 ","4:05 ","3:36 ","4:25 ","0:00 "
"05:00 2025/04/16","4:06 ","4:06 ","4:07 ","3:38 ","4:28 ","0:00 "
"06:00 2025/04/16","4:01 ","3:59 ","4:02 ","3:34 ","4:22 ","0:00 "
"07:00 2025/04/16","4:13 ","4:10 ","4:15 ","3:45 ","4:34 ","0:00 "
"08:00 2025/04/16","5:20 ","5:20 ","5:22 ","4:21 ","6:17 ","0:00 "
"09:00 2025/04/16","5:11 ","5:01 ","5:09 ","4:14 ","5:59 ","0:00 "
"10:00 2025/04/16","4:58 ","5:02 ","5:01 ","4:15 ","5:50 ","0:00 "
"11:00 2025/04/16","5:04 ","5:09 ","5:04 ","4:18 ","5:54 ","0:00 "
"12:00 2025/04/16","4:58 ","4:58 ","5:02 ","4:10 ","5:56 ","0:00 "
"13:00 2025/04/16","5:12 ","5:19 ","5:08 ","4:18 ","6:16 ","0:00 "
"14:00 2025/04/16","5:10 ","5:03 ","5:05 ","4:14 ","6:01 ","0:00 "
"15:00 2025/04/16","4:52 ","4:50 ","4:52 ","4:01 ","5:46 ","0:00 "
"16:00 2025/04/16","4:52 ","4:59 ","4:49 ","4:06 ","5:41 ","0:00 "
"17:00 2025/04/16","5:01 ","5:00 ","4:58 ","4:03 ","5:42 ","0:00 "
"18:00 2025/04/16","4:36 ","4:33 ","4:39 ","3:52 ","5:26 ","0:00 "
"19:00 2025/04/16","4:39 ","4:42 ","4:40 ","3:56 ","5:24 ","0:00 "
"20:00 2025/04/16","4:24 ","4:22 ","4:24 ","3:41 ","5:07 ","0:00 "
"21:00 2025/04/16","4:21 ","4:20 ","4:18 ","3:49 ","4:48 ","0:00 "
"22:00 2025/04/16","4:22 ","4:19 ","4:18 ","3:52 ","4:41 ","0:00 "
"23:00 2025/04/16","4:16 ","4:15 ","4:16 ","3:48 ","4:37 ","0:00 "
"00:00 2025/04/17","4:10 ","4:13 ","4:09 ","3:39 ","4:33 ","0:00 "
"01:00 2025/04/17","4:06 ","4:10 ","4:05 ","3:33 ","4:28 ","0:00 "
"02:00 2025/04/17","4:04 ","4:07 ","4:04 ","3:29 ","4:25 ","0:00 "
"03:00 2025/04/17","4:03 ","4:07 ","4:02 ","3:29 ","4:25 ","0:00 "
"04:00 2025/04/17","3:59 ","4:04 ","4:02 ","3:31 ","4:25 ","0:00 "
"05:00 2025/04/17","4:01 ","4:06 ","4:05 ","3:32 ","4:27 ","0:00 "
"06:00 2025/04/17","4:18 ","4:21 ","4:14 ","3:41 ","4:40 ","0:00 "
"07:00 2025/04/17","4:15 ","4:15 ","4:12 ","3:41 ","4:42 ","0:00 "
"08:00 2025/04/17","4:31 ","4:32 ","4:30 ","3:50 ","5:11 ","0:00 "
"09:00 2025/04/17","5:06 ","5:10 ","5:02 ","4:19 ","6:01 ","0:00 "
"10:00 2025/04/17","4:47 ","4:49 ","4:45 ","4:04 ","5:33 ","0:00 "
"11:00 2025/04/17","5:31 ","5:30 ","5:22 ","4:32 ","6:22 ","0:00 "
"12:00 2025/04/17","5:07 ","5:04 ","5:03 ","4:06 ","6:06 ","0:00 "
"13:00 2025/04/17","5:36 ","5:36 ","5:28 ","4:17 ","6:48 ","0:00 "
"14:00 2025/04/17","5:42 ","5:41 ","5:40 ","4:24 ","6:57 ","0:00 "
"15:00 2025/04/17","6:00 ","6:00 ","5:51 ","4:35 ","7:07 ","0:00 "
"16:00 2025/04/17","5:44 ","5:45 ","5:43 ","4:41 ","6:49 ","0:00 "
"17:00 2025/04/17","5:16 ","5:19 ","5:17 ","4:15 ","6:31 ","0:00 "
"18:00 2025/04/17","5:04 ","5:12 ","5:08 ","4:13 ","6:10 ","0:00 "
"19:00 2025/04/17","4:48 ","4:48 ","4:44 ","3:51 ","5:46 ","0:00 "
"20:00 2025/04/17","4:54 ","4:58 ","4:49 ","3:55 ","5:45 ","0:00 "
"21:00 2025/04/17","5:05 ","5:03 ","5:03 ","4:05 ","5:55 ","0:00 "
"22:00 2025/04/17","4:55 ","4:47 ","4:52 ","4:04 ","5:27 ","0:00 "
"23:00 2025/04/17","4:34 ","4:33 ","4:34 ","3:44 ","5:15 ","0:00 "
"00:00 2025/04/18","4:13 ","4:15 ","4:12 ","3:39 ","4:48 ","0:00 "
"01:00 2025/04/18","3:59 ","4:06 ","3:59 ","3:38 ","4:33 ","0:00 "
"02:00 2025/04/18","3:56 ","3:58 ","3:56 ","3:34 ","4:24 ","0:00 "
"03:00 2025/04/18","3:55 ","3:55 ","3:55 ","3:32 ","4:14 ","0:00 "
"04:00 2025/04/18","3:52 ","3:51 ","3:51 ","3:28 ","4:08 ","0:00 "
"05:00 2025/04/18","3:52 ","3:48 ","3:49 ","3:25 ","4:05 ","0:00 "
"06:00 2025/04/18","3:54 ","3:50 ","3:53 ","3:27 ","4:10 ","0:00 "
"07:00 2025/04/18","4:11 ","4:09 ","4:07 ","3:37 ","4:32 ","0:00 "
"08:00 2025/04/18","5:03 ","5:06 ","5:04 ","4:15 ","6:06 ","0:00 "
"09:00 2025/04/18","5:32 ","5:35 ","5:43 ","4:34 ","6:42 ","0:00 "
"10:00 2025/04/18","5:51 ","5:48 ","6:05 ","5:01 ","6:55 ","0:00 "
"11:00 2025/04/18","6:05 ","6:14 ","5:54 ","4:51 ","7:23 ","0:00 "
"12:00 2025/04/18","6:03 ","6:10 ","6:08 ","4:45 ","7:15 ","0:00 "
"13:00 2025/04/18","6:17 ","6:14 ","6:11 ","4:46 ","7:34 ","0:00 "
"14:00 2025/04/18","6:26 ","6:42 ","6:23 ","4:52 ","8:06 ","0:00 "
"15:00 2025/04/18","6:36 ","6:48 ","6:37 ","5:12 ","8:22 ","0:00 "
"16:00 2025/04/18","6:49 ","6:55 ","6:39 ","5:12 ","8:15 ","0:00 "
"17:00 2025/04/18","5:55 ","5:58 ","5:53 ","4:39 ","7:01 ","0:00 "
"18:00 2025/04/18","5:14 ","5:12 ","5:10 ","4:18 ","6:01 ","0:00 "
"19:00 2025/04/18","5:08 ","5:11 ","5:03 ","4:14 ","6:12 ","0:00 "
"20:00 2025/04/18","4:49 ","4:49 ","4:50 ","4:00 ","5:43 ","0:00 "
"21:00 2025/04/18","4:28 ","4:27 ","4:33 ","4:01 ","5:03 ","0:00 "
"22:00 2025/04/18","4:26 ","4:26 ","4:30 ","3:54 ","5:03 ","0:00 "
"23:00 2025/04/18","4:18 ","4:14 ","4:17 ","3:45 ","4:47 ","0:00 "
"00:00 2025/04/21","3:59 ","3:58 ","4:03 ","3:33 ","4:35 ","0:00 "
